cu1809	09:30:07.500	2018-07-25 09:30:07.500000000	2018-07-24 10:11:55.332929000	-83892167071000
cu1809	09:30:08.000	2018-07-25 09:30:08.000000000	2018-07-24 10:11:55.829596000	-83892170404000
cu1809	09:30:08.500	2018-07-25 09:30:08.500000000	2018-07-24 10:11:56.343618000	-83892156382000
cu1809	09:30:09.000	2018-07-25 09:30:09.000000000	2018-07-24 10:11:56.850980000	-83892149020000
cu1809	09:30:09.500	2018-07-25 09:30:09.500000000	2018-07-24 10:11:57.349324000	-83892150676000
cu1809	09:30:10.000	2018-07-25 09:30:10.000000000	2018-07-24 10:11:57.850090000	-83892149910000
cu1809	09:30:10.500	2018-07-25 09:30:10.500000000	2018-07-24 10:11:58.329039000	-83892170961000
cu1809	09:30:11.000	2018-07-25 09:30:11.000000000	2018-07-24 10:11:58.829015000	-83892170985000
cu1809	09:30:11.500	2018-07-25 09:30:11.500000000	2018-07-24 10:11:59.330568000	-83892169432000
cu1809	09:30:12.000	2018-07-25 09:30:12.000000000	2018-07-24 10:11:59.846962000	-83892153038000
cu1809	09:30:12.500	2018-07-25 09:30:12.500000000	2018-07-24 10:12:00.348810000	-83892151190000
cu1809	09:30:13.000	2018-07-25 09:30:13.000000000	2018-07-24 10:12:00.828686000	-83892171314000
cu1809	09:30:13.500	2018-07-25 09:30:13.500000000	2018-07-24 10:12:01.341124000	-83892158876000
cu1809	09:30:14.000	2018-07-25 09:30:14.000000000	2018-07-24 10:12:01.842030000	-83892157970000
cu1809	09:30:14.500	2018-07-25 09:30:14.500000000	2018-07-24 10:12:02.348281000	-83892151719000
cu1809	09:30:15.000	2018-07-25 09:30:15.000000000	2018-07-24 10:12:02.848494000	-83892151506000
cu1809	09:30:15.500	2018-07-25 09:30:15.500000000	2018-07-24 10:12:03.328628000	-83892171372000
cu1809	09:30:16.000	2018-07-25 09:30:16.000000000	2018-07-24 10:12:03.845135000	-83892154865000
cu1809	09:30:16.500	2018-07-25 09:30:16.500000000	2018-07-24 10:12:04.328313000	-83892171687000
cu1809	09:30:17.000	2018-07-25 09:30:17.000000000	2018-07-24 10:12:04.828259000	-83892171741000
cu1809	09:30:17.500	2018-07-25 09:30:17.500000000	2018-07-24 10:12:05.338281000	-83892161719000
cu1809	09:30:18.000	2018-07-25 09:30:18.000000000	2018-07-24 10:12:05.831923000	-83892168077000
cu1809	09:30:18.500	2018-07-25 09:30:18.500000000	2018-07-24 10:12:06.352051000	-83892147949000
cu1809	09:30:19.000	2018-07-25 09:30:19.000000000	2018-07-24 10:12:06.843256000	-83892156744000
cu1809	09:30:19.500	2018-07-25 09:30:19.500000000	2018-07-24 10:12:07.336961000	-83892163039000
cu1809	09:30:20.000	2018-07-25 09:30:20.000000000	2018-07-24 10:12:07.839853000	-83892160147000
cu1809	09:30:20.500	2018-07-25 09:30:20.500000000	2018-07-24 10:12:08.329002000	-83892170998000
cu1809	09:30:21.000	2018-07-25 09:30:21.000000000	2018-07-24 10:12:08.842730000	-83892157270000
cu1809	09:30:21.500	2018-07-25 09:30:21.500000000	2018-07-24 10:12:09.344766000	-83892155234000
cu1809	09:30:22.000	2018-07-25 09:30:22.000000000	2018-07-24 10:12:09.828288000	-83892171712000
cu1809	09:30:22.500	2018-07-25 09:30:22.500000000	2018-07-24 10:12:10.328731000	-83892171269000
cu1809	09:30:23.000	2018-07-25 09:30:23.000000000	2018-07-24 10:12:10.828415000	-83892171585000
cu1809	09:30:23.500	2018-07-25 09:30:23.500000000	2018-07-24 10:12:11.328593000	-83892171407000
cu1809	09:30:24.000	2018-07-25 09:30:24.000000000	2018-07-24 10:12:11.833057000	-83892166943000
cu1809	09:30:24.500	2018-07-25 09:30:24.500000000	2018-07-24 10:12:12.339308000	-83892160692000
cu1809	09:30:25.000	2018-07-25 09:30:25.000000000	2018-07-24 10:12:12.843590000	-83892156410000
cu1809	09:30:25.500	2018-07-25 09:30:25.500000000	2018-07-24 10:12:13.341794000	-83892158206000
cu1809	09:30:26.000	2018-07-25 09:30:26.000000000	2018-07-24 10:12:13.845599000	-83892154401000
cu1809	09:30:26.500	2018-07-25 09:30:26.500000000	2018-07-24 10:12:14.350070000	-83892149930000
cu1809	09:30:27.000	2018-07-25 09:30:27.000000000	2018-07-24 10:12:14.828708000	-83892171292000
cu1809	09:30:27.500	2018-07-25 09:30:27.500000000	2018-07-24 10:12:15.328417000	-83892171583000
cu1809	09:30:28.000	2018-07-25 09:30:28.000000000	2018-07-24 10:12:15.828638000	-83892171362000
cu1809	09:30:28.500	2018-07-25 09:30:28.500000000	2018-07-24 10:12:16.328599000	-83892171401000
cu1809	09:30:29.000	2018-07-25 09:30:29.000000000	2018-07-24 10:12:16.842581000	-83892157419000
cu1809	09:30:29.500	2018-07-25 09:30:29.500000000	2018-07-24 10:12:17.328518000	-83892171482000
cu1809	09:30:30.000	2018-07-25 09:30:30.000000000	2018-07-24 10:12:17.838789000	-83892161211000
cu1809	09:30:30.500	2018-07-25 09:30:30.500000000	2018-07-24 10:12:18.327398000	-83892172602000
cu1809	09:30:31.000	2018-07-25 09:30:31.000000000	2018-07-24 10:12:18.838882000	-83892161118000
cu1809	09:30:31.500	2018-07-25 09:30:31.500000000	2018-07-24 10:12:19.335209000	-83892164791000
cu1809	09:30:32.000	2018-07-25 09:30:32.000000000	2018-07-24 10:12:19.827830000	-83892172170000
cu1809	09:30:32.500	2018-07-25 09:30:32.500000000	2018-07-24 10:12:20.326853000	-83892173147000
cu1809	09:30:33.000	2018-07-25 09:30:33.000000000	2018-07-24 10:12:20.846517000	-83892153483000
cu1809	09:30:33.500	2018-07-25 09:30:33.500000000	2018-07-24 10:12:21.340851000	-83892159149000
cu1809	09:30:34.000	2018-07-25 09:30:34.000000000	2018-07-24 10:12:21.845531000	-83892154469000
cu1809	09:30:34.500	2018-07-25 09:30:34.500000000	2018-07-24 10:12:22.334787000	-83892165213000
cu1809	09:30:35.000	2018-07-25 09:30:35.000000000	2018-07-24 10:12:22.839671000	-83892160329000
cu1809	09:30:35.500	2018-07-25 09:30:35.500000000	2018-07-24 10:12:23.340108000	-83892159892000
cu1809	09:30:36.000	2018-07-25 09:30:36.000000000	2018-07-24 10:12:23.827697000	-83892172303000
cu1809	09:30:36.500	2018-07-25 09:30:36.500000000	2018-07-24 10:12:24.328172000	-83892171828000
cu1809	09:30:37.000	2018-07-25 09:30:37.000000000	2018-07-24 10:12:24.840456000	-83892159544000
cu1809	09:30:37.500	2018-07-25 09:30:37.500000000	2018-07-24 10:12:25.347887000	-83892152113000
cu1809	09:30:38.000	2018-07-25 09:30:38.000000000	2018-07-24 10:12:25.827678000	-83892172322000
cu1809	09:30:38.500	2018-07-25 09:30:38.500000000	2018-07-24 10:12:26.353133000	-83892146867000
cu1809	09:30:39.000	2018-07-25 09:30:39.000000000	2018-07-24 10:12:26.826265000	-83892173735000
cu1809	09:30:39.500	2018-07-25 09:30:39.500000000	2018-07-24 10:12:27.333093000	-83892166907000
cu1809	09:30:40.000	2018-07-25 09:30:40.000000000	2018-07-24 10:12:27.827773000	-83892172227000
cu1809	09:30:40.500	2018-07-25 09:30:40.500000000	2018-07-24 10:12:28.338452000	-83892161548000
cu1809	09:30:41.000	2018-07-25 09:30:41.000000000	2018-07-24 10:12:28.827839000	-83892172161000
cu1809	09:30:41.500	2018-07-25 09:30:41.500000000	2018-07-24 10:12:29.351919000	-83892148081000
cu1809	09:30:42.000	2018-07-25 09:30:42.000000000	2018-07-24 10:12:29.832075000	-83892167925000
cu1809	09:30:42.500	2018-07-25 09:30:42.500000000	2018-07-24 10:12:30.343982000	-83892156018000
cu1809	09:30:43.000	2018-07-25 09:30:43.000000000	2018-07-24 10:12:30.839957000	-83892160043000
cu1809	09:30:43.500	2018-07-25 09:30:43.500000000	2018-07-24 10:12:31.327748000	-83892172252000
